user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,148,150,151,153,154,155,157,158,160,161,162,165,167,168,171,172,173,176,177,178,179,180,181,184,185,186,188,189,195,197,198,201,204,205,212,213,215,217,219,225,227,229,230,232,233,237,243,245,248,255,264,265,270,271,281,289,292,301
615,5.0,3.0,3.0,5.0,3.0,,5.0,,2.0,4.0,5.0,,,3.0,3.0,5.0,,4.0,5.0,,,,,3.0,,,,3.0,,,5.0,4.0,3.0,,,4.0,5.0,4.0,5.0,,,,5.0,,3.0,,4.0,,,,,3.0,,,,,,4.0,4.0,,,,4.0,,,4.0,5.0,,,,,,,,,4.0,,1.0,,,,,,,,,4.0,,,4.0,,,4.0,4.0,,,,5.0,,5.0,5.0,,,3.0,,,5.0,5.0,,,,,3.0,,4.0,,4.0,,,4.0,,,,,,,5.0,,5.0,,5.0,,,,,,,5.0,,,,,4.0,4.0,,,,5.0,,,,5.0,,4.0,,,5.0,5.0,,,5.0,,3.0,,,,,3.0,4.0,5.0,,,4.0,,,,5.0,,,3.0,5.0,5.0,,,5.0,,,,,,,,,5.0,,3.0,,4.0,,
1027,3.0,1.0,1.0,,3.0,,,,,,,,,1.0,4.0,,2.0,1.0,5.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,5.0,,,,,,,4.0,1.0,4.0,,,,,5.0,,,,,4.0,,2.0,,1.0,,5.0,4.0,1.0,,,4.0,,,,5.0,,,,,3.0,,4.0,4.0,,,,,,,,5.0,4.0,,,,,4.0,,4.0,,,1.0,,,3.0,4.0,5.0,,4.0,,,1.0,,5.0,,,,,,,,,4.0,,1.0,,5.0,4.0,,,,,,,4.0,5.0,4.0,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,3.0,,5.0,4.0,,2.0,,,5.0,4.0,,4.0,5.0,4.0,5.0,,,,,,5.0,,,,,,,,4.0,,,3.0,,,3.0,,,5.0,,,,5.0,,,5.0,4.0,2.0,,3.0,,
1076,4.0,3.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,,,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,4.0,,,3.0,5.0,5.0,3.0,,,,3.0,,,3.0,5.0,,4.0,,5.0,,,,4.0,5.0,,3.0,3.0,4.0,,,5.0,,,4.0,,,,,,,,,,,,,,4.0,4.0,,,,,5.0,,4.0,,,,,,5.0,5.0,3.0,,,4.0,,,,5.0,,,,,,,,,,,3.0,,5.0,,,,1.0,3.0,4.0,,4.0,,3.0,,,,,,,,,2.0,,4.0,,,,,,,,,,,3.0,,3.0,4.0,,,5.0,,,,,,,,,,,,5.0,,4.0,,,4.0,,,,,3.0,,,,,,4.0,,,3.0,,,,,,4.0,3.0,,,,,,,,,5.0
1126,5.0,4.0,,5.0,3.0,,4.0,,4.0,5.0,4.0,,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,4.0,4.0,,4.0,,,,4.0,,,,,4.0,4.0,,,5.0,4.0,,3.0,4.0,,4.0,,5.0,,,,,,,2.0,4.0,,,5.0,,4.0,4.0,,4.0,,,,5.0,,,,,4.0,4.0,,4.0,,,,,4.0,5.0,5.0,4.0,4.0,,,,,,4.0,,,,,4.0,,,,,,,,,,3.0,,4.0,,,,,,4.0,,,,1.0,,,4.0,,,,3.0,,5.0,,,3.0,,3.0,,3.0,5.0,,,,4.0,,3.0,4.0,,,,3.0,,,3.0,4.0,,,,,5.0,,,,,,4.0,,4.0,,5.0,4.0,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,3.0,,5.0,,,,,
1169,4.0,3.0,,5.0,5.0,,,,,,4.0,,3.0,3.0,4.0,,3.0,3.0,3.0,2.0,,,3.0,3.0,,1.0,,4.0,5.0,,2.0,,3.0,,1.0,5.0,5.0,3.0,,,,4.0,5.0,,,,4.0,,,4.0,,,,,,,4.0,3.0,4.0,,,,,,5.0,,,,,,,,,,4.0,4.0,4.0,4.0,,5.0,,,4.0,,4.0,,,,,4.0,,3.0,5.0,5.0,,,,,,3.0,4.0,5.0,,,,,,,,,,,4.0,,3.0,4.0,4.0,,,,,4.0,5.0,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,4.0,3.0,,4.0,3.0,3.0,,,,,,4.0,,,4.0,4.0,,3.0,,4.0,,,,3.0,,,4.0,,,,,,,,5.0,,,,,,4.0,,,,4.0,,3.0,4.0,,4.0,,,3.0,3.0
1296,5.0,5.0,4.0,5.0,4.0,,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,4.0,4.0,,,5.0,,4.0,,4.0,,5.0,5.0,,5.0,3.0,,,,5.0,,,,,5.0,4.0,5.0,4.0,,,,,4.0,5.0,5.0,4.0,4.0,5.0,,5.0,,,5.0,,,,,3.0,,,4.0,,,5.0,,4.0,5.0,,,5.0,,,5.0,,,,,,,5.0,4.0,,,,,,,,3.0,,4.0,4.0,,,,5.0,5.0,,,4.0,4.0,,,,,,5.0,5.0,3.0,,,5.0,4.0,3.0,,,,4.0,,,,,5.0,5.0,,,,,,,4.0,,,,,,5.0,4.0,4.0,,3.0,,,,,,,,,,5.0,,5.0,,4.0,,,,,,,,4.0,,3.0,,,,,5.0,,,,,3.0,,3.0,5.0,,
1456,,4.0,,4.0,4.0,,3.0,4.0,,4.0,4.0,,4.0,4.0,4.0,,,4.0,5.0,,4.0,5.0,4.0,4.0,,1.0,4.0,4.0,,,,4.0,2.0,,4.0,4.0,4.0,3.0,,,,5.0,5.0,,3.0,,,4.0,,4.0,,,,,4.0,,5.0,3.0,,3.0,,,5.0,,4.0,,4.0,,,,5.0,,,,,5.0,4.0,,,5.0,,,,,2.0,,5.0,,,,,,,5.0,5.0,,,,,5.0,5.0,,4.0,,,,4.0,,4.0,,,3.0,4.0,4.0,,4.0,4.0,,3.0,,,,5.0,,,,5.0,3.0,,,,,,4.0,,,,,,,,,,5.0,,,4.0,5.0,,4.0,4.0,5.0,4.0,,,,5.0,4.0,,,,5.0,5.0,,,,,,,,,,,,,,,5.0,,,,4.0,,,5.0,,4.0,,,,3.0,4.0,,4.0,,3.0,,,,3.0
1719,5.0,5.0,5.0,4.0,2.0,,4.0,4.0,3.0,5.0,4.0,4.0,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,,3.0,5.0,,,4.0,4.0,3.0,,4.0,,,,3.0,5.0,,4.0,4.0,3.0,5.0,,,,4.0,4.0,4.0,,,4.0,,,5.0,,,,,3.0,5.0,,,,,4.0,,,,,,5.0,,,,,,4.0,,,,,,3.0,4.0,,3.0,,3.0,3.0,4.0,,,,,3.0,,,3.0,4.0,,,1.0,3.0,,,3.0,,,,4.0,,,,,,2.0,3.0,,,,3.0,3.0,4.0,3.0,,4.0,,,5.0,,,4.0,,4.0,,,,5.0,,,,5.0,,2.0,,,,,,,,,,,,,3.0,5.0,2.0,,4.0,,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,,
1759,,5.0,,,3.0,4.0,5.0,,3.0,,4.0,2.0,,,4.0,,,5.0,5.0,,5.0,3.0,3.0,5.0,,3.0,5.0,,5.0,4.0,4.0,3.0,,,3.0,,5.0,4.0,4.0,3.0,,,3.0,,4.0,,5.0,4.0,3.0,5.0,,4.0,,4.0,,1.0,3.0,,5.0,4.0,3.0,,,,,,4.0,,,4.0,,,,,,,,,,5.0,,,3.0,,5.0,,,,,,,,5.0,2.0,,,,,,4.0,3.0,,,,,,,3.0,,,,4.0,,4.0,,5.0,,,,4.0,,,3.0,3.0,,,,,,,5.0,,,3.0,,,,,5.0,4.0,,3.0,,4.0,,,,5.0,,4.0,4.0,5.0,3.0,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,4.0,,,5.0,3.0,,,,,,,,4.0,4.0,5.0,,3.0,,4.0,,,,4.0
1772,3.0,3.0,,,3.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,5.0,5.0,3.0,,,3.0,,5.0,,4.0,2.0,,,,,4.0,,4.0,,,,,4.0,,,,,,,2.0,3.0,4.0,,3.0,,3.0,,,,,,1.0,3.0,,,,,,3.0,,,4.0,,3.0,,,,5.0,,4.0,,,,,3.0,4.0,4.0,,,,,,2.0,3.0,5.0,,4.0,1.0,3.0,,,,2.0,,,4.0,,3.0,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,4.0,,5.0,,3.0,,,4.0,4.0,,4.0,4.0,4.0,,,,,,5.0,,,,,,5.0,4.0,4.0,,,,3.0,,,,3.0,,,,,,4.0,,,,4.0,,,5.0,,,,5.0,,5.0,,,,,,,
1794,,5.0,,5.0,4.0,,2.0,,,4.0,5.0,,,,5.0,,,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,,3.0,5.0,,5.0,,,5.0,,,,5.0,3.0,5.0,,,,,,5.0,,,,,,,2.0,5.0,5.0,,,,5.0,5.0,,5.0,,,,,,5.0,,,,5.0,,5.0,2.0,,,3.0,,5.0,5.0,4.0,5.0,,,5.0,,,,,,,,,,5.0,5.0,5.0,,,,,,,3.0,,,5.0,,,5.0,5.0,,,5.0,4.0,5.0,,5.0,,5.0,,3.0,5.0,,,,,,5.0,,,,,,,,,5.0,,,,4.0,,5.0,5.0,3.0,,,,,,5.0,4.0,,,4.0,,2.0,,,5.0,,,,,,,5.0,,,,4.0,,,,5.0,,5.0,5.0,,,,,5.0,,3.0,5.0,,,,,5.0,,,3.0
